Oinwe	Ve.
enra mia imaa iki icha jonibaon papa iti iki	te hago padre de muchas naciones
ja kanchis nete itinra jatíbi jawen teebo senenhayontaanan dios tantia iki iki	y dios descansó de todas sus obras el día séptimo
juanra iká iki lamparin joekan mato tenai keská jaskara ikaxa jan jaskáakin yoiai ninkatax mato jawetio basishokores rarokana iki	juan era una antorcha que ardía e iluminaba y ustedes por un tiempo se sintieron a gusto con su luz
jaton boo iká iki ainbaon boo keska jaton xetabo iká iki leónman xeta keska	sus cabellos son como los de mujer y sus dientes como los de leones
enra shinanke jatíbi jonibo keyonoxon jaton jakonma kopíra nato neten ikonbiresi onsati reteanankanai jaskara iketianra en jato keyoai jatíbi nato neten ikáboyabi	he decidido acabar con todos los seres vivos pues la tierra está llena de violencia por culpa de ellos y los voy a suprimir de la tierra
jatian ja atenas jeman nokóxon silas betan timoteo manaai iikin ja jemamea ikonma diosbo oinyaketanax pablo sinata iki	mientras pablo los esperaba en atenas su espíritu hervía viendo la ciudad plagada de ídolos
ja nokon joi ninkaxon en yoia keská akaira onanti iki ea akonkin noia jan ea jaskáakin noiara nokon papan noishokoti iki jatianra enribi noiax moa ea jaki onantiti iki akin jesussen jato aká iki	el que guarda mis mandamientos después de recibirlos ése es el que me ama el que me ama a mí será amado por mi padre y yo también lo amaré y me manifestaré a él
mia riki jatíbitian sakerdote ja melkisedek iní betan senenribi iki	tú eres sacerdote para siempre a semejanza de melquisedec
jaskáatanan moa korosen akanon ixon jato menia iki	el camino de la cruz
jatian ja sakerdotebaon koshi itan ja jema koshibaonra jaskáaxon jesús reteti kopí janso joi benakana iki	los jefes de los sacerdotes y el consejo supremo andaban buscando alguna declaración falsa contra jesús para poderlo condenar a muerte
ibó min janenko non jato notsinara yoshinboribi non yoiai joibo ninkáxoni jokonkanke akin	señor hasta los demonios nos obedecen al invocar tu nombre
ramara ja diossen katotabora jakonmabo iki akin tsonbi jato yoiti atipanyamake diossenbi moa ocha ayosma keskáakin jato oinna iketian	quién acusará a los elegidos de dios dios mismo los declara justos
ian keiba bonon bokanwe akin	crucemos a la otra orilla del lago
jatian pedron jabichobiribi okeshoko boxon notsina iki	pedro pues lo llevó aparte y comenzó a reprenderlo
enra mato ikonshaman yoiai jatíribi neno ikábora ja diossen ikinaton jati oinnamatianbipari mawákantima iki akin jesús wetsaresibia	en verdad les digo que algunos de los aquí presentes no morirán sin antes haber visto el reino de dios la transfiguración de jesús
oa wetsa baritia joaitonra ea miiba merati joribai jatianra min awin sara moa westíora benbo bakeya inóxiki akin	dentro de un año volveré por aquí y para entonces sara tu mujer tendrá un hijo
jaskatax jabébi jain iibaikana iki jatian iká iki moa yantan	eran como las cuatro de la tarde
jatian jaskáakin jato akinti kopíra jawen wetsabo keskáribi itoshia iki jaskatax jawen atibo senenhai itan noibataanan akinmis diossen tee axonai sakerdotebaon koshi inox itan jato kopi mawáxon jonibaon ocha akábo shinanxonyamanox	por eso tuvo que hacerse semejante en todo a sus hermanos y llegó a ser el sumo sacerdote lleno de comprensión pero también fiel en el servicio de dios que les consigue el perdón
eara keenai non ibo jesukriston jatíbibo mato jakon shinanxontin mato jaskáabanon senentiainbi pablon dios rabia	los saludan erasto tesorero de la ciudad y nuestro hermano cuarto
ikaxbi saulon koshi shinanyaxon joi yoikin jeneyamaa iki jesús riki kristo iki ixon jato onanmakin jato jaskáabi ja damaskoain jakana judíobaon moa jaskashamaanti onanyamakana iki judíobaon retekasa saulo jabata	saulo cada vez con más vigor demostraba que jesús era el mesías y refutaba todas las objeciones de los judíos de damasco
min wetsabora sikemhain yoinabo koirani bokana iki	tus hermanos están cuidando las ovejas en los pastos de siquem ven que quiero mandarte donde ellos
rama netebaon maton papa en oinna riki ea joá benátian iantana keskáma eki jakonmarestaniara en oinnai jaskara ikenbira ja nokon anibaon dios ebébi iki	veo que el padre de ustedes no me mira con buenos ojos como antes pero el dios de mi padre ha estado conmigo
ikaxbi ja icha jawékia itin keenaibaonra tanakaatibo joketian teneyamakanai jaskatira icha jakonma jawékibo ati shinanyabo ikax jakonmaatax manótiain bokanti atipanke	los que quieren ser ricos caen en tentaciones y trampas un montón de ambiciones locas y dañinas los hunden en la ruina hasta perderlos
ea jaskáyamawe eara mia keska diossen tee akairibi iki itan ja jesukristo ikábo yoikin jeneyamai min wetsabo keskáribi dioskaya rabiwe akin ja jesúskiriti iká joibo riki ja profetabo jan shinan meniai joxo kabáyonin joni peyakaa	no lo hagas yo no soy más que un servidor como tú y como tus hermanos que transmiten las declaraciones de jesús son declaraciones de jesús las que vienen del espíritu de los profetas sólo debes adorar a dios el triunfo de la palabra de dios
nato makanbo non jaskáakin tsamana riki ja oinnaitiibi non jaskáakin shinanbekoni jawéki noa jan shinanmati	este montón de piedras va a quedar aquí como una prueba del acuerdo entre tú y yo
jaskara iketianra jonin jawen papa betan jawen tita jenetaanan jawen awin betanbiribi jati iki jaskataxa ja rabé westíora yorabicho keská iti iki	por eso el hombre deja a su padre y a su madre para unirse a su mujer y pasan a ser una sola carne
jatian moa ian shitai ikanaitian jesús moa oxaa iki jainoaxa ja ianman niwe koshi paketa iki jatianra jaton boteribi moa jene weiti peokootax reokooti onsá meran ikana iki	mientras navegaban jesús se durmió de repente se desencadenó una tempestad sobre el lago y la barca se fue llenando de agua a tal punto que peligraban
eabira jaskara jawékiboki koshiti atipanke	porque hablando de méritos humanos yo también tendría con qué sentirme seguro
jato jaskáabaini ja efesoainoax wapóronin nanetax moa kaa iki	y se fue de efeso por mar
jaweatiki maton maestron ja apo kopí yokáxonaibo itan ja ochayabo betan jawékiai	cómo es que su maestro come con cobradores de impuestos y pecadores
jakonmein iti iki nato netemea jawékibo kaiaa ikátiibi jati neteoma joni iká	de qué le serviría a uno ganar el mundo entero si se destruye a sí mismo
jaskáakin yoitaanan moa faraónhibakeax jakob pikókaina iki	después jacob volvió a bendecir a faraón y se retiró de su presencia
matonra onanke ja moatian moiséssen yoini joi ja iki	ustedes han escuchado lo que se dijo a sus antepasados
jaskati ea mato betan jakiribi nokoananketianra mato ibirestiki ea kopi kristo jesúski raroi	cuando vuelva a visitarlos ustedes se sentirán más orgullosos de mí en cristo jesús sigan firmes en la fe
jaskarabo namá meran ointaanan moa faraón besoa iki	entonces fa raón se despertó
jatian ea jan jaskáakin oinnabora iká iki ja asia mainmea jawetii judíobo jatian jabokayara ikanti iki neno mato bebon ja en jakonma akábo iketian mato yoii	todo empezó por causa de unos judíos de asia que hoy deberían estar aquí para acusarme si es que tienen algo contra mí
jatian rishkihonkana pekáora ea retekanti iki jaskáakanabira jawen kimisha nete itin ea jiriribiti iki akin jato aká iki	y después de azotarlo lo matarán pero al tercer día resucitará
nato netemea jawékibo shinanyamakinkaya ja naikanmea jawékibores shinankanwe	preocúpense por las cosas de arriba no por las de la tierra
jainxon nikodemon yokáribia iki	nicodemo volvió a preguntarle
jatian moa domingo nete xabatai yamékirishoko ja mawá kini oinni boribakana iki kakin ja ininti meskoibakanabo bokana iki	el primer día de la semana muy temprano fueron las mujeres al sepulcro llevando los perfumes que habían preparado
nokon bake kopíra ea meketai ja mawábo ikain jabé iki ea kaai kamanra ikai ikinbo	estaré todavía de duelo cuando descienda donde mi hijo al lugar de las sombras y su padre lo lloró
ja mawáti jawékira moa keyota iki iki	qué victoria tan grande la muerte ha sido devorada
ikaxbi jaweratoboki ja diossen shinanki jakonmaibires yoyo ikax ochai jabora jawetianbi jato diossen shinanxonkin jenetima iki	en cambio el que calumnie al espíritu santo no tendrá jamás perdón pues se queda con un pecado que nunca lo dejará
jaskákenbi jain charotabaon jakiribi yoikana iki	después de un rato los que estaban allí dijeron de nuevo a pedro
jara naikan kaax diossen mekayao yakata iki jaskara kopíra ja ángelbo itan jatíbi koshi shinanya koshibo jaki koshikana baneta iki	el se ha ido al cielo y está a la derecha de dios después de someter a los ángeles a las dominaciones y las potestades
ja ángelbo meranxon diossen esé meniara maton bia iki ikaxbi maton senenhayamaa iki akin esteban retekana	ustedes que recibieron la ley por medio de ángeles pero que no la han cumplido
jatian moa rebeka raankana iki jatíbitian jan koirana ainbo betan jainoax ja abrahamman yonoti beabo betan	entonces dejaron partir a su hermana rebeca y a su nodriza con el servidor de abraham y sus hombres
jawen rabé itin naikanxonbi ibon ángelnin abraham kenaa iki	volvió a llamar el angel de dios a abraham desde el cielo
jaskara iken ja nokon joi ninkáxon en yoia keská ea axonaibo riki shinanti onan ixon shanka main jonin xoboani keská	si uno escucha estas palabras mías y las pone en práctica dirán de él aquí tienen al hombre sabio y prudente que edificó su casa sobre roca
jatian jaskáakin maton yoiara gosén mainshaman mato imatiki	así se podrán quedar ustedes en esta tierra de gosén ya que los egipcios aborrecen a todos los pastores de ovejas
ja makedoniainoax bekana non wetsabaonra joxon ea maxkata jawékibo ea menikana iki maton akinnon ikaxa ea matokibichoira manáyamaa iki jatíbitianra ea jaskara iti jake	me cuidé de ser un peso para ustedes y todavía me cuidaré
neskarabo kopíra jatíbi nokon koshiabi ea teetai ja kriston jawen atipana koshi ea meniaton	este es mi trabajo al que me entrego con la energía que viene de cristo y que obra poderosamente en mí
janra icha israel jonibo jaton ibo dioski jato banémaribanoxiki	por medio de él muchos hijos de israel volverán al señor su dios
jatian masábires mehananbi ja nasi kexabi ochó kaax ja buenos puertos akin akanainko noa nokota iki ja iká iki lasea jema ochóma	lo costeamos con dificultad y llegamos a un lugar llamado puertos buenos cerca de la ciudad de lasea
jainxon neskara jawéki rama onankanwe yamé ja hora yometso jawen xobon joái onanaxa ja joni moa oxatima iki jawen jawékibo yometsoanaketian koirani	si el dueño de casa supiera a qué hora va a llegar el ladrón ustedes entienden que se mantendría despierto y no le dejaría romper el muro
ja kikin jakonhira diossen onan shinanyabo itikayara maton shinanti jake ramara ja en mato yoipakea bebonbires jakon jawékibo en mato yoiai	ustedes con todo aspiren a los carismas más elevados y yo quisiera mostrarles un camino que los supera a todos
nenoax tsekékaini kaax aniparon pakétanwe akin jatianra diossen imaxonti iki ponté shinanxon ja en yoia keskára ea imaxonai ixon ikonhaketian	levántate de ahí y arrójate al mar si no duda en su corazón y cree que sucederá como dice se le concederá
ja diossen shinanna jawékibo iresa keská ikaxbira jákaya jatíbi jonibo xewina onan iki jatian dios yosma keska shinankanabira jawen koshi jonibaon koshi betan senenyamake	pues las locuras de dios tienen más sabiduría que los hombres y la debilidad de dios es más fuerte que los hombres
jaskatira ikai ja profeta isaíassen yoini joibo jatoiba seneni jara inike neskati	en ellos se verifica la profecía de isaías
jatian nenora itinkanke ja non ibo jesús noobetan inontian jatíbitian nobébi iikiranabo	tenemos pues que escoger a un hombre de entre los que anduvieron con nosotros durante todo el tiempo en que el señor jesús actuó en medio de nosotros
jatian sinakananbekonax moa bernabé pablo betan potaananbekona iki jaskatax bernabébiribi markos bibaini moa chipreain kaai wapóronin nanébekona iki	se acaloraron tanto que acabaron por separarse el uno del otro bernabé tomó consigo a marcos y se embarcó rumbo a chipre
ikon riki juanmanra onpaxenres jato bautizana iki ikaxbi jawetii nete pekáora diossenbiribi jawen shinanman mato bautizanoxiki akin naikan kaai jesús keyata	juan bautizó con agua pero ustedes serán bautizados en el espíritu santo dentro de pocos días
ja bakebo chiteyamakanwe ibakanon eiba bei ja diossen ikinnaton jati netera ja bakebo keská ikaibaona iki	dejen que los niños vengan a mí y no se lo impidan porque el reino de dios pertenece a los que son como ellos
matoki jakontani iantana	está bien el padre de ustedes aquel anciano de quien me hablaron
jato jaskáabaini ja jemameax moa jesús betania jeman kaa iki ja yamé jain oxaa iki higo bimioma jesussen bimitimaakin yoia	en seguida jesús los dejó y salió de la ciudad en dirección a betania donde pasó la noche maldición de la higuera
jatíxonbiribi dios rabikatikanai jaskákanaitian jatíbi jonibaon jatoki jakon shinankana iki jainxon netetiibi non ibon ja kishpinmeeta jonibo jato kaimaboa iki	alababan a dios y se ganaban la simpatía de todo el pueblo y el señor agregaba cada día a la comunidad a los que se iban salvando
jainxon ja mato betan joi akaibores maton jato saludanabira bená jawékima iki ja dios ikonhayamai jonibobira jaskakanani jakanke	y si saludan sólo a sus amigos qué tiene de especial también los paganos se comportan así
enra mato moamabi nato yoiai moa jaskarabo winóketian maton ikonhakanti kopí	les he dicho estas cosas aho ra antes de que sucedan para que cuando sucedan ustedes crean
ja noomeran iká ochati koshi shinan ras akin keyoa inon ikax jatianra moa noa ochan iboa wetsatima iki	las fuerzas vivas del pecado han sido destruidas para que no sirvamos más al pecado
ikaxbi ja damasko jeman moa nokóti ochóma iketianra ratereskin naikanxon jato topo joekan tenaa iki	mientras iba de camino ya cerca de damasco le envolvió de repente una luz que venía del cielo
ja janes betan jambres moiséski yoitimani keskáribiira ja jonibo ikon joiki yoitimakanai ja jonibo riki kikinni jaton shinan ramita ikax moa dios ikonhayamaibo	del mismo modo que janés y jambrés se opusieron a moisés también ellos se oponen a la verdad son hombres de mente pervertida descalificados en cuanto a la fe
ja jato betan mato yoyo ikaira iti jake keentishaman itan jakonshamanbores jainxonra maton onanribiti jake ja mato yokákanaibo jaskáakin jato yoiti senentiainbi jato saludana	que su conversación sea agradable y no le falte su granito de sal sepan contestar a cada uno lo que corresponde
mato betan ixonra kikinmashoko shinanmeeananbi itan winiananbi non ibo jesussen tee en axona iki retekaskinbo ea judíobaon masábires tenemakanabi	he servido al señor con toda humildad entre las lágrimas y las pruebas que me causaron las trampas de los judíos
jatíbi ja min oinna maira en mia meniti iki jatianra jatíbitian mina itan min chiní bakebaonna iti iki	pues bien toda la tierra que ves te la voy a dar a ti y a tu descendencia para siempre
nokiakinribi jakon shinankanwe tsoabira non jato jakonma imaama iki tsoabira non jato ochamaxon rami banemaama iki itan tsoabira jansoxonbo non mato jawéki bichinama iki	hágannos un lugar entre ustedes de nadie hemos abusado a nadie hemos rebajado a nadie hemos estafado
jaskataxa diossen joi pextina iki jainoax jerusalénhainribi icha joi akaibo kaikana iki jaskáribiakin icha sakerdote judíobaonribi ja joi ninkáxon ikonhakana iki	la palabra de dios se difundía el número de los discípulos en jerusalén aumentaba considerablemente e incluso un buen grupo de sacerdotes había aceptado la fe
pichika pacha baritiaya inontianra noekan bakea iki sem kam jafet	noé tenía quinientos años cuando fue padre de sem cam y jafet
jatianribira marinerobo yoiananbotankana iki	después se dijeron unos a otros
jatian israelitabo ikana iki ocha ayosma keskáakin jato diossen oinnon ikax ja esekan yoiai keskati jati shinanyabobiribi ikaxbi iti atipanyamakana iki	israel en cambio que buscaba en la ley un camino de justicia no alcanzó la finalidad de la ley y por qué
natora diossenbi imaa iki jakopíra noa ikonbiresi ratékanai akin jato aká iki	esta es la obra del señor y nos dejó maravillados
ja jawen papan mawákin jatíbi jawéki iboamaa joni bakepari ikaxa westíora yonoti joni keskares iki jakaya jawen papan jatíbi jawékibo iboamaa ikaxbi	mientras el hijo del dueño de casa es aún niño no tiene ninguna ventaja sobre los esclavos a pesar de que es dueño de todos ellos
jakonma itan yoitima jonibo ixonra akai ja oinxon onanti anon ixon maton ea yokákin ikaxbira en mato oinmakasai ja profeta jonás winóni keskábichores akin jato aká iki jato jaskáakin yoitaanan moa jato potabaini kaa iki	generación mala y adúltera ustedes piden una señal pero señal no tendrán sino la señal de jonás jesús pues los dejó y se marchó
ja jesús ikonhaibora retenoxonbo en jato benakatitai yatanxonbora benboboyabi ainbobo inonbi en jato kárkel meran niakatitai	así que perseguí a muerte a este camino e hice encadenar y meter en la cárcel a hombres y mujeres
jaskatax jesús pikota iki moxa maiti maiya itan jan perakooti joshin yame chopa sawemakanayabi pikoxon pilaton jato neskáakin yoia iki	entonces salió jesús fuera llevando la corona de espinos y el manto rojo pilato les dijo
ikaxbi jawen wetsa omisaibora yamé meranbires jake jaskara ixonra jaweraoki kaai iki ixonbi onanyamake ja yamekan moa benche keska imaa ixon	en cambio quien odia a su hermano está en las tinieblas y camina en tinieblas y no sabe adónde va pues las tinieblas lo han cegado
eara ramabiora wanoke jakopira ea kati atipanyamake akin	acabo de casarme y por lo tanto no puedo ir
ibonra amitainin bake jonás yoia iki	la palabra de yavé fue dirigida a jonás hijo de amittay en estos términos
pacha baritiayanixmein joni papa iti iki	acaso le va a nacer un hijo a un hombre de cien años
jatian jawen wetsa jaki kaai ointaanan ja esaúribi jaki ishtokainxon jawen wetsa ikótaanan teikoax rabekaxbi winibekona iki	esaú corrió al encuentro de su hermano y lo abrazó echándose sobre su cuello lo besó y los dos rompieron a llorar
ja wetsa paron janera iká iki guihón ja parora kus janeya mai shitabaina iká iki	el segundo río se llamaba guijón y rodea la tierra de cus
jawekopiki nato ininti jaskáakin yoyota	para qué tanto derroche
tsoa jonibi jain jaama pozo meranreskaya potati riki ja reteaxbira noa rami itiki akin ja rubenmanra jato jaskáa iki jan retekashamakin itan jawen papaiba ioti shinanya ixon	no derramen sangre les dijo rubén échenlo más bien en aquella cisterna allá en el desierto pero no pongan las manos sobre él esto dijo para sacarlo de sus manos y devolverlo después a su padre
ja kizaña taxtexon tsamanhanan menoti keskáribira inoxiki moa nato nete senenketian	vean cómo se recoge la maleza y se quema así sucederá al fin del mundo
ja jain tsinkíti xobo meranbora mato bokanti iki apoboiba itan joni koshiboibara mato bokanti iki ea kopi	los harán comparecer ante reyes y gobernadores por causa de mi nombre
jaskáakin jesussen pedro yoia joira ja joi akaibaon yoikana iki ja joni jawetianbi mawátima yoia iká	por esta razón corrió entre los hermanos el rumor de que aquel discípulo no iba a morir
jaskáayontaananra nokon shinan meran en neskara shinanti iki eara icha jawékia iki icha baritiaribi jawékiati senen	entonces yo conmigo hablaré alma mía tienes aquí muchas cosas guardadas para muchos años descansa come bebe pásalo bien
jaskarabora moa non yoyo imati yamake jabaonra ja atima jawékibo yoixon jatíbi jonibo jaton rareboyabi jakonmai iikanai jaskáakin jakonmaakinbo axon jato koríki bichini	hay que taparles la boca pues enseñan en forma muy interesada cosas que no conviene y desconciertan a familias enteras
jatikaxbi nenoax jokonkanwe	salgan todos de aquí
jatian jakon aká jonibobiribira jawen papan jato ikinna netemeax bari keskati penénoxikanai	entonces los justos brillarán como el sol en el reino de su padre
jainxon en ninkata iki ja ani yakátiainoax koshin yoyo iki neskatai	y oí una voz que clamaba desde el trono
jaskáaketian mato ati iki	pero él les dirá de nuevo
jatian jain iitaitian kikinbires icha joni jatoki tsinkíkana iki jaskatira jatonbinix bitaxananbotankana iki jainxon jaonmea onanaibopari jato jesussen neskáa iki	entre tanto se habían reunido miles y miles de personas hasta el punto de que se aplastaban unos a otros entonces jesús se puso a decir especialmente para sus discípulos
diossen joikaya yoyo awe jatianra min onanti iki ja galileankoniax jawetianbi profeta joyamai akin akana iki	estudia las escrituras y verás que de galilea no salen profetas
jaskaaxa pataxbainaxbo neskáakana iki	y acercándose a él le decían
noabo riki abrahamman chiní rarebobo itan jawetianbira iboaxon yonokanai joni noa ikama iki	somos descendientes de abraham y nunca hemos sido esclavos de nadie
jatíbi nokon papa jayata jawékira nokonaribi iki jaskara kopíra en yoia iki ja diossen shinanmanra eibakea joiboribi bixon mato onanmanoxiki akin	todo lo que tiene el padre es mío por eso les he dicho que tomará de lo mío para revelárselo a ustedes la promesa de una nueva presencia
ikaxbi efesoainra ea baneti jake ja pentekostés nete nokotai kaman	de todos modos me detendré en efeso hasta pentecostés
maton yoiai enki ja beezebúkan atipana koshin yoshinbo jokonhai jatian jaskara ikenki	y si beelzebul me ayuda a echar los demonios
já joketianra jakonmabires isinbo beai yoná koshiribira japekáo joai	abriéndole camino va la peste y viene detrás de él la fiebre ardiente
ea jawen yonoti ikax rabíti shinanhoma iken ekiakin shinanna kopí jaskáakinra jonibaon rama peoxon jatíbitian diossenra mia raroshaman imake akin ea anoxikanai	porque se fijó en su humilde esclava y desde ahora todas las generaciones me llamarán feliz
jatian galilea ian ketani kakinra já wetsa rabébires rikani iibekonaitian jesussen nokoa iki ja iká iki simón pedro betan jawen wetsa andrés jabo iká iki yapan teetaibo	mientras jesús caminaba a orillas del mar de galilea vio a dos hermanos uno era simón llamado pedro y el otro andrés eran pescadores y estaban echando la red al mar
maestró jaskáakinbo yoixonra min noabobi jakonma shinanmai akin	maestro al hablar así nos ofendes también a nosotros
jainxon jato yoiribia iki	así jesús declaraba que todos los alimentos son puros y luego continuó
jatian jaskáati yoia nepóxonra icha yapa bikana iki jaton rikabobi noshinon kaman	así lo hicieron y pescaron tal cantidad de peces que las redes casi se rom pían
eara abrahamman yonoti iki	yo soy servidor de abraham
nonra ninkata iki ja jonibaon aká nato dios rabiti xobo ras axonra jakiribi kimisha neteres en wetsa aríbati iki ikaxbi jara iti iki jonibaon akáma iki ikaitian iki ikana iki	nosotros le hemos oído decir yo destruiré este templo hecho por la mano del hom bre y en tres días construiré otro no hecho por hombres
icha yoitima jonibora jake jabo riki ja jakina rebichi xatéya ikanti jato yoiai judíobo jabaonra akai iresbiresa jawékibo yoianan jonibo parankin	porque hay muchos espíritus rebeldes charlatanes y engañadores sobre todo entre los de origen judío
ja jatíbi jonibo pablo chibani beaibo ikana iki neskati	pues un montón de gente lo seguía gritando
eabi mato betan jain itinaxmabira nokon shinan meran ea jain mato betan itinke jaskatira ea kikini raroai jakonibo jaax mato kristoki koshii jenéyamai onantaanan kriston xabáabo	aunque estoy corporalmente lejos mi espíritu está con ustedes y me alegro al ver el equilibrio y la solidez de su fe en cristo
jatian jaskata pekáo ja kimisha itin iká ángel joríbaa iki joáx koshin yoyo iki neskata iki	un tercer ángel pasó después clamando con voz fuerte
jaskara kopíra jain noa iti yoiamainkobires noa iiamai jawekeskabira nato jawéki ikeanke moabi noa matoiba nokotama iketian noaparira iká iki ja kristo kiriti iká bená joi mato yoii bokanabo	no nos excedemos indebidamente entre ustedes como aquellos que no han sabido cómo llegar pues somos los que les llevamos el evangelio de cristo
japekáora péleg rabé pacha iskon baritiapari jaa iki jatianra wetsa jawen bakebo benbobo itan ainbobo jaribaa iki	y después del nacimiento de reu peleg vivió doscientos nueve años y tuvo más hijos e hijas
ja raanabaon ratéti jawékibo itan ja oinxon onanti jawékibo akanaitian oinnax jatikaxbi ratékana iki	toda la gente sentía un santo temor ya que los prodigios y señales milagrosas se multiplicaban por medio de los apóstoles
jaskataitianra jatíbi nato main já jonibo raketi winiananbi yoyo inoxikanai ja jonin bake jawen atipana koshia itan penébires moa naikoinman joaitian oinnax	mientras todas las razas de la tierra se golpearán el pecho verán al hijo del hombre viniendo sobre las nubes del cielo con el poder divino y la plenitud de la gloria
ikaxbi nato joi jatíbiain pextinhakin jato yoibokanamatianbi jato rakéati riki ja jesús kiriti iká joibo moa tsoabi jato yoiamakanon ixon iki ikana iki	pero prohibámosles que hablen más de ese nombre ante ninguna persona no sea que esto se extienda entre el pueblo
nokon namá meranra ea iibake nilo janeya paro kexá ea chankata	estaba yo parado a la orilla del río
jaskara jawéki akaibo ibon non mainmea keyokin potapainon riki wetsabires inonbi jatíbi atipana ibo jawéki menikin bexonaibobi	que yavé arranque de las tiendas de jacob al que haga esto que no haya nadie que lo defienda en los tribunales ni nadie que presente por él una ofrenda a yavé respeto al matrimonio
jain kaxon jato jaskáakin yoiibataxbi moa icha nete jain iketian ja filisteobaon apo abimeleknin jawen xobo ventananin bepikooxon oinna iká iki ja isaak nokon poi riki ja rebeka iki iibataxbi ikoananshaman noibai iiti	llevaba ya bastante tiempo allí cuando abimelec rey de los filisteos mirando por una ventana sorprendió a isaac acariciando a rebeca
westíora netera en manabaita iki ja jakonma itan yoitima jonibo akinkaskin iki iká	todo el día extendí mis manos hacia un pueblo desobediente y rebelde
moara nato neten yamati jake	no tiene derecho a vivir
matoribira kristo betanbi ikax jatíbi joi akaibo betan tsinkitax ja xoboribi iki jawen shinan meranoax jain dios iká xobo	en él ustedes se van edificando hasta ser un santuario espiritual de dios
jatian jesús ikábo yoikanaitianra apo herodesnin ninkata iki jara jatíbiain ninkakaata iki jatíribibo ikana neskati	el rey herodes oyó hablar de jesús ya que su nombre se había hecho famoso algunos decían
jaskataxa jawetianbi mato ochan pakétima iki	si obran así no decaerán
jaskara yoiira ikai jawen joi meran tsonki aka diossen shinan onankin ameinti atipanke westíora jonin dios shinan menikin	quién entró jamás en los pensamientos del señor a quién llamó para que fuera su consejero
jatian ja kimisha nete itin galilea main iká kaná jemanko wanoti fiesta iká iki jatian jesussen titaribi jain iká iki	tres días más tarde se celebraba una boda en caná de galilea y la madre de jesús estaba allí
westíora nete kanchisi miki ochax kanchisiribi joxon mia ati iki	si te ofende siete veces al día y otras tantas vuelve arrepentido y te dice
ja priskila betan akilara en saludo bomai jainoax jatíbi ja onesíforon xobon ikáboribi	saluda a prisca y aquila y a la familia de onesíforo
ja éufrates paro kexa nexakaata chosko ángelbo chorowe akin	suelta a los cuatro ángeles inmovilizados a orillas del gran río eufrates
jaskáaxon jesukriston janenko jato bautizankana iki	y mandó bautizarlos en el nombre de jesucristo
jakonra iti iki nokon papan rareboboibakea min ointi jainoara nokon kaibo ainbobo xaranmea jawen awin iti min benati iki akin	sino que irás a la tierra de mi padre y buscarás en mi familia una esposa para mi hijo
iká iki ja koríki min banko meran niati	debías haber colocado mi dinero en el banco
ja jonira maia ikax marotaanan koríki bixon ja raana jonibo jato menia iki	éste vendió un campo de su propiedad trajo el dinero de la venta y lo puso a los pies de los apóstoles
ja peokin joni koshiboiba kenamaxon ea bokannontianra tsonbi ikinyamakin jatíxonbi ea potayonkana iki jaskákana jawékibo diossen jato shinanxonyamabanon	la primera vez que presenté mi defensa nadie estuvo a mi lado todos me abandonaron que dios no se lo tenga en cuenta
mia jaskáakin non yoia min noa ayantanke ja non wetsa chiní min onankasai kopí ja bexonti noa yoikin	después nos dijiste que baje aquí con ustedes y que yo mismo lo vea
salmos wishá meranra ikai neskati	esto estaba escrito en el libro de los salmos
kamellobaon xeakin senenhaketian ja jonin bia iki westíora oro meosoti jawen iwe sokota gramos jainxon ja xontako jawen rekinhain sawemaa iki jainxonribi menia iki rabé oro menexeti jawen iwe pacha gramos iká iki	cuando acabaron de beber los camellos él sacó un anillo de oro para la nariz de seis gramos de peso y para sus brazos dos brazaletes de oro de unos diez gramos
jatian nairibi ja kirika xeixon moa benxoakana keskati yamaa iki jatianra jatíbi mananbo itan jatíbi nasiboribi shakotax taxkebotana iki	el cielo se replegó como un pergamino que se enrolla y no quedó cordillera o continente que no fueran arrancados de su lugar
ja pablora atenas kamanres iokana iki jain potabeirani beribakanaitian silas betan timoteoki pablon joi bomaa iki ishton joxon oinni bekanti	los que acompañaban a pablo lo llevaron a atenas y después regresaron a berea con instrucciones para timoteo y silas de que fueran a reunirse con él lo antes posible
japekaora moa lea tooyamaa iki	por eso le puso por nombre judá y ya dejó de tener hijos
jatian ja wapóroninmeax kishpinmeetabora ikana iki posaka jonibichores	pero algunas personas ocho en total entraron al arca y se salvaron a través del agua
enra mato kachianbainyamai mato betan ikíra ea jakiribi joribai kaai	no los dejaré huérfanos sino que volveré a ustedes
jaskatax moa salmosbo bewai senentaanan olivos mananman bokana iki	después de cantar los salmos partieron para el monte de los olivos
ikaxbi jato nokoyamaxon jasón betan jatíribi joi akaibores yatanxon jato joi benxoakinai joni koshiboiba bokana iki boax neskati saa ikana iki	pero al no encontrarlos allí arrastraron a jasón y a otros creyentes ante los magistrados de la ciudad gritando
ja joni iká iki moabi yobé ixon kikin joni keská itaanan ja samaria jonibo jato parana	tenía muy impresionada a la gente de samaría con sus artes mágicas y se hacía pasar por un gran personaje
jawéki onannoxon yokákaskin maton xobonkoxonbiribi maton benebo yokákanwe jakonma riki ja ainbobo jaskara tsinkítiainoaxbi yoyo iti	y si desean saber más que se lo pregunten en casa a su marido es feo que la mujer hable en la asamblea
